base_error,width,power,trial,reson_factor,eff_error,mem_stab,cycle_score,T_int,I,success,fail_reason
0.06,0.05,4.0,2794,0.9944708340585332,0.00467525608920056,0.9559246180160194,1.7311364132437232,0.39330572211786974,3.6698007765626355,1,None
0.06,0.05,4.0,2795,0.007997930771190027,0.0659999997434464,0.8791752611839855,1.5731699096373768,0.3766927476421329,3.4153526210657135,0,Genetic
0.06,0.05,4.0,2796,0.0017011813732441452,0.06599999999947488,0.9165040144891502,1.664258375657486,0.384552387710252,3.5633896591708902,0,Genetic
0.06,0.05,4.0,2797,0.0027837466234613174,0.06599999999623482,0.9039780351277066,1.611207365254421,0.385507719066251,3.438155649918636,0,Genetic
0.06,0.05,4.0,2798,0.09236571931985313,0.06599543636599166,0.8337149748744046,1.5272509676981456,0.38366064950127143,3.2195348512854993,0,Genetic
0.06,0.05,4.0,2799,0.5983988073735632,0.05796047448227076,0.8641919173870269,1.5601043224109705,0.38703597663835443,3.2759479465587167,0,Genetic
0.06,0.05,4.0,2800,0.9184574084812848,0.02138266489043006,0.9479448039424379,1.7194391874416273,0.3932252080817947,3.6270558576223997,1,None
0.06,0.05,4.0,2801,0.7202019051383611,0.049131183875482924,0.8684573408921177,1.5647771483928448,0.37978756451614887,3.3521247659725777,1,None
0.06,0.05,4.0,2802,0.053190503282249245,0.0659994981153199,0.8829625961580914,1.6141187966226176,0.38372045647669917,3.431771348080108,0,Genetic
0.06,0.05,4.0,2803,0.9999896306005377,0.003302600604934733,0.8561045279523986,1.5675164437820939,0.3947703384513533,3.2305086127484106,1,None
0.06,0.05,4.0,2804,1.2070733294092378e-07,0.066,0.8783345486200644,1.59050661636739,0.3711693686219827,3.494593548421855,0,Genetic
0.06,0.05,4.0,2805,7.520001691340025e-13,0.066,0.8847882763525416,1.589172473613069,0.380749943116692,3.4043413380599077,0,Genetic
0.06,0.05,4.0,2806,7.199478674955073e-13,0.066,0.8218164555328661,1.5076422455646732,0.3807921858549464,3.2009388482929673,0,Genetic
0.06,0.05,4.0,2807,0.03143529001969639,0.06599993877378295,0.9228231636348404,1.6705454028046596,0.3874873065448895,3.5507034318321726,0,Genetic
0.06,0.05,4.0,2808,6.328280816459612e-08,0.066,0.8885347728275769,1.6331481867007527,0.39484895233242817,3.4049873056550792,0,Genetic
0.06,0.05,4.0,2809,0.5841013606799361,0.05870172182412843,0.9372077706699846,1.6953637729523356,0.3878932605868881,3.6170728943294908,0,Genetic
0.06,0.05,4.0,2810,0.9598223590256714,0.01278537682214608,0.8344452024211919,1.5468779855100412,0.3893204197892299,3.2264228292227375,1,None
0.06,0.05,4.0,2811,0.003313033122338609,0.06599999999244612,0.8464578068597569,1.5403565038056732,0.38016961593913623,3.2782095983514585,0,Genetic
0.06,0.05,4.0,2812,1.1112768445819721e-12,0.066,0.8675781623637501,1.5802833267067673,0.38037014404788894,3.393604899314461,0,Genetic
0.06,0.05,4.0,2813,0.01572049574007568,0.06599999617058451,0.9063472936049808,1.6463509393149363,0.36198251786260316,3.7401846492395934,0,Genetic
0.06,0.05,4.0,2814,0.03924732208434632,0.06599985123263923,0.8619763139995558,1.559632267068101,0.3788230829567882,3.340313375227473,0,Genetic
0.06,0.05,4.0,2815,2.4866036745157004e-06,0.066,0.8563482144438164,1.5394543361962758,0.3868648818013196,3.2330840283892384,0,Genetic
0.06,0.05,4.0,2816,0.00020033117089484853,0.0659999999999999,0.8533044682505755,1.572464309900693,0.3973593740491227,3.2130624681363433,0,Genetic
0.06,0.05,4.0,2817,0.0569025798349874,0.06599934265196668,0.8894517120669438,1.6221502003485642,0.3776255377033784,3.524901554190508,0,Genetic
0.06,0.05,4.0,2818,4.412197322908476e-17,0.066,0.9032021264028222,1.6167156523637838,0.3908693950940707,3.3933106430926814,0,Genetic
0.06,0.05,4.0,2819,0.42155190561135186,0.06401997000992803,0.8482775226109303,1.539585528957936,0.3875250397175614,3.2215398345226327,0,Genetic
